job_title,industry,occupation,age
enginner,tech,software,28
enginner,tech,software,28
manager,tech,software,35
manager,tech,software,38
farmer,agro,farmer,45
technical_architect,tech,software,45
vice_president,banking,management,50
vice_president,tech,management,48
enginner,tech,software,28
enginner,tech,software,28
manager,tech,software,35
manager,tech,software,38
farmer,agro,farmer,45
technical_architect,tech,software,45
vice_president,banking,management,50
vice_president,tech,management,48
enginner,tech,software,34
enginner,tech,software,24
manager,tech,software,21
manager,tech,software,33
farmer,agro,farmer,45
technical_architect,tech,software,45
vice_president,marketing,management,38
vice_president,ad-tech,management,48
vice_president,marketing,management,39
enginner,tech,software,20
enginner,tech,software,24
manager,tech,software,25
manager,tech,software,28
farmer,agro,farmer,35
enginner,tech,software,22
enginner,tech,software,32
manager,tech,software,31
manager,tech,software,30
